body_pre,body_post,weight,source_type,descending_type
11630,11334,87,AVLP498,DNpe045
13472,10010,87,SAD053,DNp01
520654,10283,87,AVLP176_b,DNp103
22034,11137,87,LC4,DNp04
10731,10001,87,SAD107,DNp01
10089,10752,87,PLP034,DNp03
14106,10010,87,CB2664,DNp01
36519,10417,87,AVLP176_c,DNp103
21313,11137,87,LC4,DNp04
17270,531898,87,LC4,DNp04
14606,10228,87,AVLP607,DNp06
513473,10923,87,GNG581,DNg40
11613,12628,87,DNp45,DNpe042
23664,11020,87,LPLC4,DNp05
12129,10106,87,SAD053,DNp11
10778,11334,87,CL286,DNpe045
10297,10558,87,LHAD1g1,DNp35
17144,10283,87,CL038,DNp103
10228,10361,87,DNp06,DNg40
18396,531898,86,LC4,DNp04
12236,10732,86,LC31b,DNpe056
30803,11137,86,LC4,DNp04
23202,531898,86,LC4,DNp04
534040,10558,86,PVLP015,DNp35
15522,10417,86,CL236,DNp103
12129,10584,86,SAD053,DNp06
900035,11573,86,aMe6a,DNpe021
10404,10283,86,AVLP082,DNp103
13465,10223,86,ANXXX102,DNpe056
12275,10923,86,PVLP151,DNg40
512705,531898,86,LC4,DNp04
17478,10010,86,LC4,DNp01
35750,10449,86,SIP118m,DNpe025
22975,11137,86,LC4,DNp04
10173,10923,86,PVLP151,DNg40
21225,11137,85,LC4,DNp04
525015,12628,85,CL249,DNpe042
515476,531898,85,LC4,DNp04
15665,10117,85,SAD064,DNp02
514018,10584,85,CB2458,DNp06
15228,10283,85,AVLP038,DNp103
25348,10228,85,CB2330,DNp06
22194,11137,85,LC4,DNp04
12798,10584,85,AVLP210,DNp06
12185,10234,85,CB2132,DNp35
10098,10228,85,AVLP442,DNp06
20440,531898,85,LC4,DNp04
26472,10091,85,SMP064,DNpe042
20509,10228,85,CB2316,DNp06
66069,10449,84,SIP119m,DNpe025
18189,11137,84,LC4,DNp04
65490,10584,84,AVLP451,DNp06
524788,10417,84,CL022_a,DNp103
12032,531898,84,LC4,DNp04
12286,10417,84,AN05B102a,DNp103
31124,10449,84,PVLP149,DNpe025
13337,10601,84,AN08B020,DNpe025
11923,10228,84,AVLP209,DNp06
10180,11334,84,AN02A002,DNpe045
30480,11137,84,LC4,DNp04
524227,10234,84,CB0391,DNp35
16904,10234,84,AVLP259,DNp35
22772,531898,83,LC4,DNp04
12614,10001,83,SAD092,DNp01
10082,10732,83,AVLP016,DNpe056
199352,10010,83,DNge130,DNp01
512701,10283,83,AVLP176_c,DNp103
520034,10234,83,AVLP082,DNp35
21721,531898,83,LC4,DNp04
10128,10259,83,SAD103,DNp11
513117,10228,83,CB2281,DNp06
17653,10010,83,LC4,DNp01
518016,531898,83,LC4,DNp04
35262,531898,83,LC4,DNp04
529617,10091,83,SMP482,DNpe042
16199,10283,83,AVLP170,DNp103
18237,10283,82,CB2330,DNp103
10776,10259,82,LoVC7,DNp11
15842,10417,82,AVLP038,DNp103
12755,10091,82,LAL182,DNpe042
12184,10001,82,PVLP122,DNp01
