body_post,LC4,LPLC2,target_type,receives_from_both
24465,5.0,3.0,PVLP046,True
516070,5.0,3.0,Li17,True
281147567,5.0,3.0,UNKNOWN,True
12462,5.0,2.0,CB1717,True
16611,5.0,2.0,TmY19b,True
34169,5.0,2.0,Li25,True
39471,5.0,2.0,Li15,True
10280,5.0,1.0,DNp47,True
14021,5.0,1.0,LoVP50,True
14529,5.0,1.0,CB4176,True
14731,5.0,1.0,LPLC1,True
16283,5.0,1.0,TmY19b,True
18140,5.0,1.0,TmY19b,True
25031,5.0,1.0,LPLC1,True
33066,5.0,1.0,Li25,True
37615,5.0,1.0,MeLo12,True
38348,5.0,1.0,MeLo2,True
50401,5.0,1.0,MeLo9,True
51594,5.0,1.0,MeLo13,True
519930,5.0,1.0,LC11,True
523777,5.0,1.0,MeLo14,True
134206388,5.0,1.0,UNKNOWN,True
282177849,5.0,1.0,UNKNOWN,True
681396682,5.0,1.0,UNKNOWN,True
727049128,5.0,1.0,UNKNOWN,True
740484993,5.0,1.0,UNKNOWN,True
841042609,5.0,1.0,UNKNOWN,True
868833707,5.0,1.0,UNKNOWN,True
10867,4.0,758.0,PVLP076,True
20269,4.0,298.0,LPLC2,True
23550,4.0,294.0,LPLC2,True
23247,4.0,289.0,LPLC2,True
23919,4.0,283.0,LPLC2,True
21808,4.0,282.0,LPLC2,True
17059,4.0,265.0,LPLC2,True
27399,4.0,261.0,LPLC2,True
21769,4.0,260.0,LPLC2,True
21899,4.0,258.0,LPLC2,True
23497,4.0,245.0,LPLC2,True
19589,4.0,243.0,LPLC2,True
39620,4.0,240.0,LPLC2,True
20334,4.0,238.0,LPLC2,True
19549,4.0,230.0,LPLC2,True
