body_pre,body_post,weight,source_type,target_type
19543,10146,38,LC4,AMMC-A1
20588,10146,38,LC4,AMMC-A1
16138,10117,38,LC4,DNp02
20917,10117,38,LC4,DNp02
15018,10020,38,LC4,AMMC-A1
31262,527536,38,LC4,
23929,19454,38,LC4,PVLP024
22772,16475,38,LC4,PVLP024
18478,10257,38,LC4,AMMC-A1
520449,10017,38,LC4,AMMC-A1
512366,10017,38,LC4,AMMC-A1
17926,10277,38,LC4,AMMC-A1
27624,65991,38,LC4,PVLP021
19794,12215,38,LC4,PVLP122
515900,18628,38,LC4,
17926,10146,37,LC4,AMMC-A1
27829,10197,37,LC4,DNp02
20542,10117,37,LC4,DNp02
19420,10146,37,LC4,AMMC-A1
22922,16475,37,LC4,PVLP024
515900,527690,37,LC4,PVLP022
25584,10117,37,LC4,DNp02
77614,10020,37,LC4,AMMC-A1
20917,13122,37,LC4,PVLP130
20917,530085,37,LC4,PVLP022
17340,16475,37,LC4,PVLP024
19794,19454,37,LC4,PVLP024
519931,10259,37,LC4,DNp11
519931,10010,37,LC4,DNp01
33137,10017,37,LC4,AMMC-A1
17054,10001,37,LC4,DNp01
17054,19454,37,LC4,PVLP024
22847,13794,37,LC4,PVLP021
23929,13122,37,LC4,PVLP130
20967,10257,37,LC4,AMMC-A1
16138,19454,37,LC4,PVLP024
29417,10197,37,LC4,DNp02
20572,10020,37,LC4,AMMC-A1
17860,10106,37,LC4,DNp11
24338,19454,37,LC4,PVLP024
17860,19454,37,LC4,PVLP024
17266,10106,37,LC4,DNp11
518439,10257,37,LC4,AMMC-A1
518439,10752,37,LC4,DNp03
19260,10001,37,LC4,DNp01
21721,16475,37,LC4,PVLP024
18432,10197,36,LC4,DNp02
18127,16459,36,LC4,PVLP024
21804,13794,36,LC4,PVLP021
21804,19454,36,LC4,PVLP024
30480,12215,36,LC4,PVLP122
22194,16459,36,LC4,PVLP024
38065,10001,36,LC4,DNp01
16809,10257,36,LC4,AMMC-A1
24523,10752,36,LC4,DNp03
20016,10106,36,LC4,DNp11
511914,10020,36,LC4,AMMC-A1
30803,527536,36,LC4,
33137,11895,36,LC4,PVLP022
20808,16459,36,LC4,PVLP024
19794,10117,36,LC4,DNp02
524899,10020,36,LC4,AMMC-A1
527408,10106,36,LC4,DNp11
100485,10259,36,LC4,DNp11
100485,16475,36,LC4,PVLP024
21151,10277,36,LC4,AMMC-A1
518439,10020,36,LC4,AMMC-A1
20673,10106,36,LC4,DNp11
21165,10146,36,LC4,AMMC-A1
28945,12215,36,LC4,PVLP122
17364,523921,36,LC4,PVLP122
19550,530085,36,LC4,PVLP022
22922,10020,36,LC4,AMMC-A1
31429,10145,36,LC4,PVLP130
16917,16475,36,LC4,PVLP024
31262,10001,36,LC4,DNp01
20399,10117,35,LC4,DNp02
17478,10257,35,LC4,AMMC-A1
514956,10020,35,LC4,AMMC-A1
524899,10017,35,LC4,AMMC-A1
20282,10117,35,LC4,DNp02
20282,10001,35,LC4,DNp01
17364,10277,35,LC4,AMMC-A1
526286,10020,35,LC4,AMMC-A1
35262,16475,35,LC4,PVLP024
20440,10259,35,LC4,DNp11
27829,16475,35,LC4,PVLP024
17478,524001,35,LC4,DNp05
23929,527536,35,LC4,
16128,530085,35,LC4,PVLP022
27750,10145,35,LC4,PVLP130
22194,10146,35,LC4,AMMC-A1
20016,10146,35,LC4,AMMC-A1
28945,19454,35,LC4,PVLP024
21287,10117,35,LC4,DNp02
21287,19454,35,LC4,PVLP024
17548,531985,35,LC4,PVLP010
517752,10259,35,LC4,DNp11
16628,531985,35,LC4,PVLP010
532254,10197,35,LC4,DNp02
17266,11020,35,LC4,DNp05
17266,16474,35,LC4,LT60
24338,10146,35,LC4,AMMC-A1
24523,10020,35,LC4,AMMC-A1
17548,10001,35,LC4,DNp01
17668,16459,35,LC4,PVLP024
530029,10257,35,LC4,AMMC-A1
18189,16459,35,LC4,PVLP024
81112,10752,35,LC4,DNp03
100485,10017,35,LC4,AMMC-A1
31262,16459,35,LC4,PVLP024
31262,16659,35,LC4,PVLP011
515900,11895,35,LC4,PVLP022
28980,16475,35,LC4,PVLP024
535341,10020,35,LC4,AMMC-A1
22772,10020,35,LC4,AMMC-A1
20542,16459,35,LC4,PVLP024
20542,10277,35,LC4,AMMC-A1
21336,13122,34,LC4,PVLP130
17860,532199,34,LC4,AMMC-A1
35616,10197,34,LC4,DNp02
22966,10146,34,LC4,AMMC-A1
23226,10197,34,LC4,DNp02
16917,10259,34,LC4,DNp11
17266,10117,34,LC4,DNp02
20588,10106,34,LC4,DNp11
20859,10752,34,LC4,DNp03
512366,10361,34,LC4,DNg40
31308,10197,34,LC4,DNp02
517752,10257,34,LC4,AMMC-A1
19954,16459,34,LC4,PVLP024
15018,10752,34,LC4,DNp03
21165,10106,34,LC4,DNp11
12349,10257,34,LC4,AMMC-A1
29563,19454,34,LC4,PVLP024
27624,10145,34,LC4,PVLP130
81112,10020,34,LC4,AMMC-A1
19420,16459,34,LC4,PVLP024
515900,10017,34,LC4,AMMC-A1
514508,10257,34,LC4,AMMC-A1
18396,10752,34,LC4,DNp03
21804,19951,34,LC4,CB3400
18478,10259,34,LC4,DNp11
17478,16475,34,LC4,PVLP024
22194,10117,34,LC4,DNp02
20440,524001,34,LC4,DNp05
519931,10257,34,LC4,AMMC-A1
31262,19454,34,LC4,PVLP024
31262,532199,34,LC4,AMMC-A1
19550,531985,34,LC4,PVLP010
19794,530085,34,LC4,PVLP022
23392,19454,34,LC4,PVLP024
12032,10017,34,LC4,AMMC-A1
20542,10146,34,LC4,AMMC-A1
532254,10010,34,LC4,DNp01
17653,11895,33,LC4,PVLP022
21151,16459,33,LC4,PVLP024
19634,19454,33,LC4,PVLP024
22975,13122,33,LC4,PVLP130
111787,16475,33,LC4,PVLP024
31429,10017,33,LC4,AMMC-A1
14888,10197,33,LC4,DNp02
19260,11020,33,LC4,DNp05
23098,19454,33,LC4,PVLP024
524899,10259,33,LC4,DNp11
16628,13794,33,LC4,PVLP021
22328,16459,33,LC4,PVLP024
28980,10020,33,LC4,AMMC-A1
27750,10752,33,LC4,DNp03
20976,10017,33,LC4,AMMC-A1
37587,10257,33,LC4,AMMC-A1
37587,10752,33,LC4,DNp03
511914,10752,33,LC4,DNp03
518983,10020,33,LC4,AMMC-A1
526286,10074,33,LC4,PVLP010
23929,10923,33,LC4,DNg40
526286,10197,33,LC4,DNp02
28945,16459,33,LC4,PVLP024
535341,10752,33,LC4,DNp03
17340,10010,33,LC4,DNp01
29417,10020,33,LC4,AMMC-A1
518544,10197,33,LC4,DNp02
23226,10017,33,LC4,AMMC-A1
515476,16475,33,LC4,PVLP024
515476,10257,33,LC4,AMMC-A1
530029,10020,33,LC4,AMMC-A1
22922,10017,33,LC4,AMMC-A1
21804,531648,33,LC4,
21804,10146,33,LC4,AMMC-A1
19543,13122,33,LC4,PVLP130
19954,10146,33,LC4,AMMC-A1
20967,16475,32,LC4,PVLP024
22847,19301,32,LC4,MeLo13
18189,531985,32,LC4,PVLP010
81112,527690,32,LC4,PVLP022
38065,19454,32,LC4,PVLP024
23792,10277,32,LC4,AMMC-A1
20808,10277,32,LC4,AMMC-A1
29469,10020,32,LC4,AMMC-A1
35262,10197,32,LC4,DNp02
17364,10106,32,LC4,DNp11
29417,10257,32,LC4,AMMC-A1
535341,10010,32,LC4,DNp01
34845,10259,32,LC4,DNp11
35616,10020,32,LC4,AMMC-A1
17608,10017,32,LC4,AMMC-A1
17926,19454,32,LC4,PVLP024
22772,10197,32,LC4,DNp02
31301,10017,32,LC4,AMMC-A1
19543,10106,32,LC4,DNp11
19954,10117,32,LC4,DNp02
19543,19454,32,LC4,PVLP024
20572,10017,32,LC4,AMMC-A1
32597,11927,32,LC4,PVLP122
32597,16475,32,LC4,PVLP024
526286,10010,32,LC4,DNp01
20440,10257,32,LC4,AMMC-A1
20542,19454,32,LC4,PVLP024
19550,10117,32,LC4,DNp02
31262,13122,32,LC4,PVLP130
27624,16475,32,LC4,PVLP024
519650,10020,32,LC4,AMMC-A1
17266,523921,32,LC4,PVLP122
17266,10277,32,LC4,AMMC-A1
17653,527690,32,LC4,PVLP022
17987,10146,32,LC4,AMMC-A1
514508,10752,32,LC4,DNp03
524899,524001,32,LC4,DNp05
23098,10001,32,LC4,DNp01
533129,10017,32,LC4,AMMC-A1
511914,10197,31,LC4,DNp02
21165,10001,31,LC4,DNp01
17548,532199,31,LC4,AMMC-A1
28945,534040,31,LC4,PVLP015
518983,527690,31,LC4,PVLP022
23098,531985,31,LC4,PVLP010
22034,16459,31,LC4,PVLP024
22034,19454,31,LC4,PVLP024
22034,10146,31,LC4,AMMC-A1
19260,19454,31,LC4,PVLP024
21804,10989,31,LC4,DNp03
33137,527690,31,LC4,PVLP022
514508,10020,31,LC4,AMMC-A1
77614,527690,31,LC4,PVLP022
19420,10277,31,LC4,AMMC-A1
29563,16459,31,LC4,PVLP024
29563,10117,31,LC4,DNp02
17054,16459,31,LC4,PVLP024
21151,10146,31,LC4,AMMC-A1
21151,532199,31,LC4,AMMC-A1
23792,16459,31,LC4,PVLP024
512366,65991,31,LC4,PVLP021
38065,12215,31,LC4,PVLP122
27750,11927,31,LC4,PVLP122
20976,10020,31,LC4,AMMC-A1
512705,10197,31,LC4,DNp02
512705,10020,31,LC4,AMMC-A1
518730,16475,31,LC4,PVLP024
21225,19454,31,LC4,PVLP024
