body_post,source_type,weight
10228,CL335,1
10584,AVLP521,1
10584,AVLP535,1
10228,AVLP762m,1
10584,AVLP538,1
10228,AVLP764m,1
10228,CB0115,1
10228,CB0206,1
10584,AVLP539,1
10228,CL310,1
10228,CL309,1
10584,CL251,1
10584,CL248,1
10584,DNg09_b,1
10584,DNg24,1
10584,AVLP320_a,1
10584,DNg29,1
10584,DNp42,1
10584,DNp34,1
10584,AVLP322,1
10584,AVLP323,1
10584,DNp13,1
10584,AVLP325_a,1
10584,DNp104,1
10584,DNp05,1
10228,DNg108,1
10584,AVLP397,1
10584,AVLP418,1
10228,AVLP576,1
10228,DNg104,1
10584,AVLP443,1
10584,DNge048,1
10228,DNc02,1
10584,DNg99,1
10584,AVLP461,1
10584,DNg30,1
10584,AVLP551,1
10584,AVLP552,1
10584,CL150,1
10584,AVLP555,1
10228,CL073,1
10228,CB4176,1
10228,CB2049,1
10584,CB3660,1
10228,CB3690,1
10228,CB2090,1
10584,CB1691,1
10228,CB2431,1
10584,CB1908,1
10228,CB3667,1
10228,CB2538,1
10228,CB3635,1
10584,CB3381,1
10584,CB2254,1
10584,CB2431,1
10228,CB3364,1
10228,CB3305,1
10584,CB2624,1
10584,CB3024,1
10228,CB1795,1
10584,CB3863,1
10228,CL108,1
10228,CL211,1
10584,CL121_b,1
10584,AVLP575,1
10584,AVLP576,1
10584,AVLP591,1
10584,CL073,1
10228,CB0929,1
10228,CL251,1
10228,CL248,1
10584,AVLP615,1
10228,CB1562,1
10584,CL002,1
10584,AVLP706m,1
10584,CB4241,1
10584,AVLP734m,1
10584,CB4180,1
10584,AVLP764m,1
10584,CB4176,1
10584,CB0280,1
10584,AVLP321,1
10584,DNp66,1
10228,AVLP380,1
10584,JO-CM,1
10584,IN23B067_c,1
10584,IN23B030,1
10584,IN21A102,1
10584,IN21A028,1
10584,IN20A.22A002,1
10584,IN13A022,1
10584,IN12B069,1
10228,GNG313,1
10584,IN12B002,1
10584,IN12A062,1
10584,IN11A042,1
10584,IN11A039,1
10228,GNG103,1
10584,IN11A032_a,1
10228,GNG004,1
10228,EA06B010,1
10228,DNpe050,1
10228,DNpe042,1
10584,IN11A012,1
10584,ANXXX144,1
10228,GNG344,1
10584,AVLP299_b,1
10228,CB3302,1
10228,AVLP401,1
10584,LT56,1
10228,GNG600,1
10584,LPT60,1
10584,LPT114,1
10228,AVLP418,1
10584,AN09B017g,1
10584,AN10B018,1
10584,AN10B061,1
10228,AVLP454_a3,1
10584,LHAV2b2_c,1
10584,AN18B019,1
10584,AN18B032,1
10228,AVLP500,1
10228,GNG418,1
10584,AN19B051,1
10584,AN27X013,1
10228,GNG351,1
10228,AVLP519,1
10584,IN09B045,1
10228,DNp36,1
10584,IN07B066,1
10584,AVLP132,1
10584,GNG581,1
10228,DNge129,1
10228,AVLP532,1
10228,DNge099,1
10228,AVLP533,1
10584,GNG331,1
