source_type,intermediate_type,descending_type,intermediate_neurons,path_instances,total_visual_to_intermediate_weight,total_intermediate_to_descending_weight
LC4,SAD049,DNp06,2,2,108,220
LC4,WED106,pIP1,3,6,16,220
LPLC2,SAD049,DNp06,2,2,40,220
LC4,PS002,DNp57,3,5,19,219
LPLC2,LPLC4,DNg01_b,48,48,1848,219
LC4,PLP300m,DNg97,3,6,38,219
LPLC2,LoVP50,DNp31,5,5,10,218
LC4,PVLP123,DNpe045,6,12,838,217
LPLC2,PVLP114,DNg52,1,4,184,217
LPLC2,AVLP086,DNp35,1,1,3,217
LC4,PS002,DNb09,3,5,19,217
LC4,SAD064,DNp103,6,6,1732,216
LC4,AN07B004,DNbe001,2,4,12,216
LC4,PLP029,DNb09,2,2,562,216
LC4,LC22,DNp03,22,22,41,215
LC4,PLP060,DNp05,2,2,57,214
LPLC2,LT69,DNp57,2,2,2,214
LC4,CB4103,DNa09,5,5,209,213
LC4,CL128a,DNb05,4,4,121,213
LPLC2,LC10d,DNa10,12,12,13,213
LPLC2,AVLP396,DNp06,2,2,922,212
LPLC2,LT86,DNbe007,1,1,2,212
LPLC2,LoVP93,DNb01,9,9,180,212
LC4,LoVP93,DNb01,9,9,185,212
LPLC2,LoVP50,DNp57,5,5,10,212
LPLC2,LC22,DNp03,23,23,50,211
LC4,CL323,DNp06,4,4,878,210
LPLC2,LT84,pIP1,2,2,3,210
LPLC2,PVLP034,DNp69,9,15,124,210
LPLC2,CL323,DNp06,4,4,606,210
LC4,PVLP122,DNp35,6,12,9068,210
LPLC2,PVLP122,DNp35,6,12,1944,210
LC4,CB4179,DNp01,5,9,155,210
LC4,LT61b,DNp103,2,4,614,210
LPLC2,LT61b,DNp103,2,4,48,210
LC4,MeLo8,DNp11,20,20,682,209
LC4,AVLP429,DNpe031,2,8,1636,208
LC4,SAD064,DNg40,6,6,1732,208
LPLC2,CB1638,DNp01,3,3,92,208
LPLC2,AVLP429,DNpe031,2,8,208,208
LPLC2,AVLP016,DNpe031,1,2,2,207
LC4,PVLP062,DNp69,2,4,22,207
LC4,LC16,pIP1,29,29,32,207
LPLC2,LoVP90c,DNae005,1,1,4,207
LPLC2,PVLP062,DNp69,2,4,14,207
LC4,AN08B010,DNge049,2,4,44,206
LC4,PVLP151,DNpe045,4,5,1873,206
LPLC2,PVLP151,DNpe045,4,5,8844,206
LPLC2,LC23,DNp103,7,14,42,205
