bodyId_pre,pre_type,pre_side,pre_nt,bodyId_post,post_type,post_side,weight,weight_normalized,edge_class
29417,LC4,left,acetylcholine,10010,DNp01,left,41,0.23837209302325582,visual_to_readout
28871,LPLC2,right,acetylcholine,10001,DNp01,right,41,0.23837209302325582,visual_to_readout
514508,LC4,left,acetylcholine,10010,DNp01,left,41,0.23837209302325582,visual_to_readout
23497,LPLC2,right,acetylcholine,10001,DNp01,right,41,0.23837209302325582,visual_to_readout
33185,LPLC2,right,acetylcholine,10001,DNp01,right,41,0.23837209302325582,visual_to_readout
24800,LPLC2,right,acetylcholine,10001,DNp01,right,41,0.23837209302325582,visual_to_readout
20240,LPLC2,left,acetylcholine,10010,DNp01,left,41,0.23837209302325582,visual_to_readout
23349,LPLC2,left,acetylcholine,10010,DNp01,left,41,0.23837209302325582,visual_to_readout
21313,LC4,right,acetylcholine,10001,DNp01,right,41,0.23837209302325582,visual_to_readout
25286,LPLC2,left,acetylcholine,10228,DNp06,left,40,0.23255813953488372,visual_to_readout
29563,LC4,right,acetylcholine,10001,DNp01,right,40,0.23255813953488372,visual_to_readout
16809,LC4,left,acetylcholine,10010,DNp01,left,40,0.23255813953488372,visual_to_readout
21151,LC4,right,acetylcholine,10001,DNp01,right,40,0.23255813953488372,visual_to_readout
521115,LPLC2,left,acetylcholine,10010,DNp01,left,40,0.23255813953488372,visual_to_readout
34407,LPLC2,left,acetylcholine,10010,DNp01,left,40,0.23255813953488372,visual_to_readout
18936,LPLC2,left,acetylcholine,10010,DNp01,left,40,0.23255813953488372,visual_to_readout
15018,LC4,left,acetylcholine,10010,DNp01,left,40,0.23255813953488372,visual_to_readout
24568,LPLC2,left,acetylcholine,10010,DNp01,left,39,0.22674418604651161,visual_to_readout
33137,LC4,left,acetylcholine,10010,DNp01,left,39,0.22674418604651161,visual_to_readout
23247,LPLC2,left,acetylcholine,531898,DNp04,left,39,0.22674418604651161,visual_to_readout
518016,LC4,left,acetylcholine,10010,DNp01,left,39,0.22674418604651161,visual_to_readout
41097,LPLC2,left,acetylcholine,10010,DNp01,left,39,0.22674418604651161,visual_to_readout
17987,LC4,right,acetylcholine,10001,DNp01,right,39,0.22674418604651161,visual_to_readout
107513,LC4,left,acetylcholine,10010,DNp01,left,39,0.22674418604651161,visual_to_readout
26528,LPLC2,left,acetylcholine,10010,DNp01,left,38,0.22093023255813954,visual_to_readout
18900,LPLC2,left,acetylcholine,10010,DNp01,left,38,0.22093023255813954,visual_to_readout
18936,LPLC2,left,acetylcholine,531898,DNp04,left,38,0.22093023255813954,visual_to_readout
17990,LPLC2,left,acetylcholine,10010,DNp01,left,38,0.22093023255813954,visual_to_readout
19954,LC4,right,acetylcholine,10001,DNp01,right,38,0.22093023255813954,visual_to_readout
24840,LPLC2,left,acetylcholine,10010,DNp01,left,38,0.22093023255813954,visual_to_readout
35889,LPLC2,right,acetylcholine,10001,DNp01,right,38,0.22093023255813954,visual_to_readout
95241,LPLC2,left,acetylcholine,531898,DNp04,left,38,0.22093023255813954,visual_to_readout
21808,LPLC2,right,acetylcholine,10001,DNp01,right,38,0.22093023255813954,visual_to_readout
20967,LC4,left,acetylcholine,10010,DNp01,left,38,0.22093023255813954,visual_to_readout
517078,LPLC2,left,acetylcholine,531898,DNp04,left,38,0.22093023255813954,visual_to_readout
519931,LC4,left,acetylcholine,10010,DNp01,left,37,0.21511627906976744,visual_to_readout
17059,LPLC2,left,acetylcholine,531898,DNp04,left,37,0.21511627906976744,visual_to_readout
