bodyId,type,side,population,role,predicted_nt,predicted_nt_confidence,consensus_nt,nt_evidence
30895,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9574850475935127,acetylcholine,predicted
31105,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9705253259215602,acetylcholine,predicted
31563,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9570000421934456,acetylcholine,predicted
32223,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.949509125377986,acetylcholine,predicted
32237,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9709673423349119,acetylcholine,predicted
32737,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9530858947656322,acetylcholine,predicted
33303,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9391766103482229,acetylcholine,predicted
33406,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9619091653145942,acetylcholine,predicted
33965,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9662269140812154,acetylcholine,predicted
34051,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9625527973348823,acetylcholine,predicted
34407,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9366710911174456,acetylcholine,predicted
34655,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9397874570404855,acetylcholine,predicted
35294,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9560499658895227,acetylcholine,predicted
40811,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9469148119222776,acetylcholine,predicted
40841,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9587229666966514,acetylcholine,predicted
41097,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9435632234223058,acetylcholine,predicted
95241,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9573029407515503,acetylcholine,predicted
100103,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9544844636887124,acetylcholine,predicted
111903,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9552275849181461,acetylcholine,predicted
112292,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9455155858521193,acetylcholine,predicted
129687,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9649970989120924,acetylcholine,predicted
134521,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9708926335054947,acetylcholine,predicted
514670,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9492895379016489,acetylcholine,predicted
515971,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9535103572756046,acetylcholine,predicted
517078,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9690003769731321,acetylcholine,predicted
517079,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9537772400409606,acetylcholine,predicted
517819,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9472379566409055,acetylcholine,predicted
518731,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9570130745045293,acetylcholine,predicted
520764,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9524585654423383,acetylcholine,predicted
521115,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9514549735444612,acetylcholine,predicted
524366,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9465928786989192,acetylcholine,predicted
525844,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9527713676731338,acetylcholine,predicted
531014,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9529328227689858,acetylcholine,predicted
533895,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9031805709828719,acetylcholine,predicted
536444,LPLC2,left,visual_input,looming_sensor,acetylcholine,0.9484407271027219,acetylcholine,predicted
14465,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9539464698220076,acetylcholine,predicted
17551,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9477360798295283,acetylcholine,predicted
18672,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9573228576665666,acetylcholine,predicted
18929,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.969434933720748,acetylcholine,predicted
19034,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9557025591331909,acetylcholine,predicted
19146,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9458815032166805,acetylcholine,predicted
19229,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.950219079323084,acetylcholine,predicted
19249,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9565573814195529,acetylcholine,predicted
19549,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.958316212138652,acetylcholine,predicted
19589,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9545327819107509,acetylcholine,predicted
19608,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.961024764794162,acetylcholine,predicted
19842,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9716479778512098,acetylcholine,predicted
20047,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9510197194199255,acetylcholine,predicted
20103,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9423148831387937,acetylcholine,predicted
20162,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9248057134409159,acetylcholine,predicted
20182,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9544594940057624,acetylcholine,predicted
20269,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9529461378362415,acetylcholine,predicted
20334,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9550554775295428,acetylcholine,predicted
20471,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.8695915342936203,acetylcholine,predicted
20535,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.949844081057672,acetylcholine,predicted
20584,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9498452216448902,acetylcholine,predicted
20694,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9629909970442846,acetylcholine,predicted
20749,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9662125278096403,acetylcholine,predicted
21045,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9427957666126541,acetylcholine,predicted
21318,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9505722848527999,acetylcholine,predicted
21562,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9569848140052273,acetylcholine,predicted
21703,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9315572619993122,acetylcholine,predicted
21769,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9479825931088266,acetylcholine,predicted
21808,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9586682634273505,acetylcholine,predicted
21862,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9458691672392405,acetylcholine,predicted
21899,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9602425736278616,acetylcholine,predicted
22218,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9536272172486061,acetylcholine,predicted
22261,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.897933191420056,acetylcholine,predicted
22677,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.968966357445747,acetylcholine,predicted
23497,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9492677940186429,acetylcholine,predicted
23590,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9437587268314594,acetylcholine,predicted
23878,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9540097659265037,acetylcholine,predicted
24118,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9417706342048847,acetylcholine,predicted
24187,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9565906010618173,acetylcholine,predicted
24268,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.954882821803751,acetylcholine,predicted
24401,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9587004071225642,acetylcholine,predicted
24800,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9622946530074762,acetylcholine,predicted
25253,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9549329350841347,acetylcholine,predicted
25267,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9610270932869746,acetylcholine,predicted
25316,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9646494927848596,acetylcholine,predicted
25497,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.967953050191576,acetylcholine,predicted
25511,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9546025843319051,acetylcholine,predicted
25636,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9600963523002438,acetylcholine,predicted
26147,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9434178784590433,acetylcholine,predicted
26393,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9379976560133138,acetylcholine,predicted
26730,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9379301490459037,acetylcholine,predicted
26915,LPLC2,right,visual_input,looming_sensor,acetylcholine,0.9506586390868356,acetylcholine,predicted
