bodyId,type,role,somaSide,soma_x,soma_y,soma_z,retinotopic_column_available,coordinate_type
25572,LPLC2,visual_projection,L,65010.0,23532.0,36212.0,False,soma_centroid_nm
25575,LPLC2,visual_projection,L,66748.0,23662.0,34900.0,False,soma_centroid_nm
25584,LC4,visual_projection,R,24582.0,29260.0,27326.0,False,soma_centroid_nm
25636,LPLC2,visual_projection,R,26277.0,19126.0,35865.0,False,soma_centroid_nm
25854,LPLC2,visual_projection,L,70450.0,17970.0,31135.0,False,soma_centroid_nm
26112,LC4,visual_projection,R,31740.0,32610.0,30752.0,False,soma_centroid_nm
26147,LPLC2,visual_projection,R,24299.0,19753.0,31873.0,False,soma_centroid_nm
26393,LPLC2,visual_projection,R,25750.0,18221.0,32713.0,False,soma_centroid_nm
26416,LPLC2,visual_projection,L,66782.0,22988.0,34954.0,False,soma_centroid_nm
26528,LPLC2,visual_projection,L,70760.0,18386.0,33594.0,False,soma_centroid_nm
26730,LPLC2,visual_projection,R,25190.0,20426.0,31730.0,False,soma_centroid_nm
26915,LPLC2,visual_projection,R,26395.0,20105.0,31626.0,False,soma_centroid_nm
27023,LPLC2,visual_projection,L,69026.0,18688.0,35352.0,False,soma_centroid_nm
27355,LPLC2,visual_projection,L,67995.0,20142.0,35339.0,False,soma_centroid_nm
27399,LPLC2,visual_projection,L,71112.0,18278.0,30670.0,False,soma_centroid_nm
27471,LPLC2,visual_projection,R,29104.0,21566.0,35104.0,False,soma_centroid_nm
27566,LPLC2,visual_projection,R,28236.0,20922.0,34244.0,False,soma_centroid_nm
27624,LC4,visual_projection,L,66089.0,30771.0,28818.0,False,soma_centroid_nm
27716,LPLC2,visual_projection,L,68019.0,20139.0,34826.0,False,soma_centroid_nm
27750,LC4,visual_projection,L,64940.0,32988.0,30428.0,False,soma_centroid_nm
27796,LPLC2,visual_projection,L,72190.0,16614.0,30796.0,False,soma_centroid_nm
27829,LC4,visual_projection,L,72750.0,25054.0,26274.0,False,soma_centroid_nm
28003,LPLC2,visual_projection,R,26780.0,19544.0,35318.0,False,soma_centroid_nm
28011,LPLC2,visual_projection,L,72746.0,16712.0,30546.0,False,soma_centroid_nm
28044,LPLC2,visual_projection,R,26296.0,19502.0,34286.0,False,soma_centroid_nm
28188,LPLC2,visual_projection,L,70490.0,18738.0,30672.0,False,soma_centroid_nm
28741,LPLC2,visual_projection,R,23910.0,18507.0,32200.0,False,soma_centroid_nm
28871,LPLC2,visual_projection,R,28806.0,21424.0,34564.0,False,soma_centroid_nm
28945,LC4,visual_projection,R,30442.0,33440.0,29378.0,False,soma_centroid_nm
28980,LC4,visual_projection,L,66710.0,33044.0,28460.0,False,soma_centroid_nm
29014,LPLC2,visual_projection,R,26761.0,21059.0,31859.0,False,soma_centroid_nm
29183,LPLC2,visual_projection,R,28656.0,21588.0,34896.0,False,soma_centroid_nm
29216,LPLC2,visual_projection,R,24717.0,19853.0,32035.0,False,soma_centroid_nm
29287,LPLC2,visual_projection,R,27164.0,19002.0,33558.0,False,soma_centroid_nm
29319,LPLC2,visual_projection,L,71908.0,18090.0,30346.0,False,soma_centroid_nm
29391,LPLC2,visual_projection,R,26282.0,19216.0,33222.0,False,soma_centroid_nm
29417,LC4,visual_projection,L,64760.0,32161.0,30621.0,False,soma_centroid_nm
29469,LC4,visual_projection,L,66455.0,32763.0,28165.0,False,soma_centroid_nm
29514,LC4,visual_projection,L,71917.0,27563.0,27696.0,False,soma_centroid_nm
29563,LC4,visual_projection,R,32340.0,30648.0,31658.0,False,soma_centroid_nm
29598,LPLC2,visual_projection,R,26590.0,18320.0,32752.0,False,soma_centroid_nm
29702,LPLC2,visual_projection,L,65722.0,24570.0,35762.0,False,soma_centroid_nm
29753,LPLC2,visual_projection,L,70881.0,17663.0,31789.0,False,soma_centroid_nm
29815,LPLC2,visual_projection,L,68464.0,20167.0,34640.0,False,soma_centroid_nm
29873,LPLC2,visual_projection,R,26596.0,19284.0,35648.0,False,soma_centroid_nm
29955,LPLC2,visual_projection,L,65242.0,23386.0,35536.0,False,soma_centroid_nm
29986,LPLC2,visual_projection,R,28134.0,20648.0,34849.0,False,soma_centroid_nm
30041,LPLC2,visual_projection,R,23747.0,18944.0,32057.0,False,soma_centroid_nm
30087,LC4,visual_projection,L,63438.0,33428.0,32332.0,False,soma_centroid_nm
30207,LPLC2,visual_projection,R,25991.0,20344.0,32534.0,False,soma_centroid_nm
30480,LC4,visual_projection,R,30959.0,32064.0,29089.0,False,soma_centroid_nm
30512,LPLC2,visual_projection,L,66037.0,23131.0,35531.0,False,soma_centroid_nm
30803,LC4,visual_projection,R,31892.0,29474.0,31691.0,False,soma_centroid_nm
30893,LPLC2,visual_projection,L,68716.0,19128.0,35462.0,False,soma_centroid_nm
30895,LPLC2,visual_projection,L,65864.0,25340.0,35926.0,False,soma_centroid_nm
30938,LPLC2,visual_projection,R,26376.0,20178.0,32292.0,False,soma_centroid_nm
31105,LPLC2,visual_projection,L,68592.0,19502.0,35024.0,False,soma_centroid_nm
31257,LPLC2,visual_projection,R,25434.0,20222.0,32780.0,False,soma_centroid_nm
31262,LC4,visual_projection,R,31963.0,32884.0,31037.0,False,soma_centroid_nm
31301,LC4,visual_projection,L,71419.0,26564.0,27892.0,False,soma_centroid_nm
31308,LC4,visual_projection,L,71838.0,25830.0,27266.0,False,soma_centroid_nm
31429,LC4,visual_projection,L,72612.0,24698.0,26902.0,False,soma_centroid_nm
31563,LPLC2,visual_projection,L,72352.0,17112.0,30488.0,False,soma_centroid_nm
31964,LPLC2,visual_projection,R,28048.0,19419.0,33844.0,False,soma_centroid_nm
31988,LPLC2,visual_projection,R,24482.0,19622.0,30934.0,False,soma_centroid_nm
32223,LPLC2,visual_projection,L,68291.0,19851.0,35087.0,False,soma_centroid_nm
32237,LPLC2,visual_projection,L,69394.0,18376.0,35252.0,False,soma_centroid_nm
32507,LPLC2,visual_projection,R,25310.0,18760.0,35758.0,False,soma_centroid_nm
32597,LC4,visual_projection,L,65322.0,30194.0,29953.0,False,soma_centroid_nm
32737,LPLC2,visual_projection,L,67132.0,21648.0,35334.0,False,soma_centroid_nm
33037,DNp69,candidate_descending,L,58933.0,22049.0,37014.0,False,soma_centroid_nm
33137,LC4,visual_projection,L,65096.0,34482.0,28260.0,False,soma_centroid_nm
33185,LPLC2,visual_projection,R,25793.0,19408.0,34013.0,False,soma_centroid_nm
33303,LPLC2,visual_projection,L,72582.0,16760.0,31838.0,False,soma_centroid_nm
33396,LPLC2,visual_projection,R,26856.0,20237.0,33290.0,False,soma_centroid_nm
33406,LPLC2,visual_projection,L,72077.0,17455.0,30874.0,False,soma_centroid_nm
33439,LPLC2,visual_projection,R,24252.0,18300.0,34624.0,False,soma_centroid_nm
33694,LPLC2,visual_projection,R,24636.0,18590.0,34544.0,False,soma_centroid_nm
33965,LPLC2,visual_projection,L,67830.0,20562.0,35269.0,False,soma_centroid_nm
34051,LPLC2,visual_projection,L,70586.0,18344.0,34228.0,False,soma_centroid_nm
34110,LPLC2,visual_projection,R,27418.0,20097.0,32660.0,False,soma_centroid_nm
34372,LPLC2,visual_projection,R,24999.0,19455.0,33815.0,False,soma_centroid_nm
34407,LPLC2,visual_projection,L,67494.0,21520.0,35456.0,False,soma_centroid_nm
34655,LPLC2,visual_projection,L,72580.0,16536.0,31400.0,False,soma_centroid_nm
34681,LPLC2,visual_projection,R,23586.0,18720.0,31434.0,False,soma_centroid_nm
