pre_bodyId,pre_type,pre_side,post_bodyId,post_type,post_side,weight,source_population,target_population,is_ipsilateral,survives_w3,survives_w10
21808,LPLC2,R,10283,DNp103,R,53,LPLC2,DNp103,True,True,True
19634,LC4,R,11137,DNp04,R,53,LC4,DNp04,True,True,True
518544,LC4,L,531898,DNp04,L,53,LC4,DNp04,True,True,True
16138,LC4,R,10001,DNp01,R,52,LC4,DNp01,True,True,True
21225,LC4,R,10001,DNp01,R,52,LC4,DNp01,True,True,True
23792,LC4,R,10001,DNp01,R,52,LC4,DNp01,True,True,True
18432,LC4,L,10010,DNp01,L,52,LC4,DNp01,True,True,True
22922,LC4,L,10010,DNp01,L,52,LC4,DNp01,True,True,True
23226,LC4,L,10010,DNp01,L,52,LC4,DNp01,True,True,True
77614,LC4,L,10010,DNp01,L,52,LC4,DNp01,True,True,True
31262,LC4,R,10106,DNp11,R,52,LC4,DNp11,True,True,True
17054,LC4,R,10117,DNp02,R,52,LC4,DNp02,True,True,True
19420,LC4,R,10117,DNp02,R,52,LC4,DNp02,True,True,True
515900,LC4,L,10197,DNp02,L,52,LC4,DNp02,True,True,True
21721,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
27624,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
28980,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
30087,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
34845,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
37587,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
518730,LC4,L,10010,DNp01,L,51,LC4,DNp01,True,True,True
18478,LC4,L,10197,DNp02,L,51,LC4,DNp02,True,True,True
111903,LPLC2,L,10228,DNp06,L,51,LPLC2,DNp06,True,True,True
23497,LPLC2,R,10283,DNp103,R,51,LPLC2,DNp103,True,True,True
25316,LPLC2,R,10283,DNp103,R,51,LPLC2,DNp103,True,True,True
17860,LC4,R,10001,DNp01,R,50,LC4,DNp01,True,True,True
533895,LPLC2,L,10010,DNp01,L,50,LPLC2,DNp01,True,True,True
18189,LC4,R,10117,DNp02,R,50,LC4,DNp02,True,True,True
33137,LC4,L,10197,DNp02,L,50,LC4,DNp02,True,True,True
107513,LC4,L,10259,DNp11,L,50,LC4,DNp11,True,True,True
514508,LC4,L,10259,DNp11,L,50,LC4,DNp11,True,True,True
20162,LPLC2,R,10283,DNp103,R,50,LPLC2,DNp103,True,True,True
20471,LPLC2,R,10283,DNp103,R,50,LPLC2,DNp103,True,True,True
29598,LPLC2,R,10283,DNp103,R,50,LPLC2,DNp103,True,True,True
13726,LPLC2,L,531898,DNp04,L,50,LPLC2,DNp04,True,True,True
28980,LC4,L,531898,DNp04,L,50,LC4,DNp04,True,True,True
19543,LC4,R,10001,DNp01,R,49,LC4,DNp01,True,True,True
19608,LPLC2,R,10001,DNp01,R,49,LPLC2,DNp01,True,True,True
21225,LC4,R,10117,DNp02,R,49,LC4,DNp02,True,True,True
30087,LC4,L,10259,DNp11,L,49,LC4,DNp11,True,True,True
27624,LC4,L,10752,DNp03,L,49,LC4,DNp03,True,True,True
17364,LC4,R,10001,DNp01,R,48,LC4,DNp01,True,True,True
17926,LC4,R,10001,DNp01,R,48,LC4,DNp01,True,True,True
20103,LPLC2,R,10001,DNp01,R,48,LPLC2,DNp01,True,True,True
21804,LC4,R,10001,DNp01,R,48,LC4,DNp01,True,True,True
24187,LPLC2,R,10001,DNp01,R,48,LPLC2,DNp01,True,True,True
25854,LPLC2,L,10010,DNp01,L,48,LPLC2,DNp01,True,True,True
518731,LPLC2,L,10010,DNp01,L,48,LPLC2,DNp01,True,True,True
26112,LC4,R,10106,DNp11,R,48,LC4,DNp11,True,True,True
29417,LC4,L,10259,DNp11,L,48,LC4,DNp11,True,True,True
512366,LC4,L,10259,DNp11,L,48,LC4,DNp11,True,True,True
18672,LPLC2,R,10283,DNp103,R,48,LPLC2,DNp103,True,True,True
17653,LC4,L,10752,DNp03,L,48,LC4,DNp03,True,True,True
39620,LPLC2,R,10923,DNg40,R,48,LPLC2,DNg40,True,True,True
14030,LPLC2,L,531898,DNp04,L,48,LPLC2,DNp04,True,True,True
17266,LC4,R,10001,DNp01,R,47,LC4,DNp01,True,True,True
20047,LPLC2,R,10001,DNp01,R,47,LPLC2,DNp01,True,True,True
20542,LC4,R,10001,DNp01,R,47,LC4,DNp01,True,True,True
21562,LPLC2,R,10001,DNp01,R,47,LPLC2,DNp01,True,True,True
22328,LC4,R,10001,DNp01,R,47,LC4,DNp01,True,True,True
24401,LPLC2,R,10001,DNp01,R,47,LPLC2,DNp01,True,True,True
527408,LC4,R,10001,DNp01,R,47,LC4,DNp01,True,True,True
23919,LPLC2,L,10010,DNp01,L,47,LPLC2,DNp01,True,True,True
